"","X.3","X.2","site_code","week","X.1","X","sample_id","sample_collection_date_time","Week_date","ammonia_mg_l","ophosph_mg_l","GI_ND","GI_lower_LOQ","GII_ND","GII_lower_LOQ","GI_per_litre","GII_per_litre","Log10_GI","Log10_GII","Log10_NoV","Log10_GI_norm","Log10_GII_norm","Log10_NoV_norm","site_name","site_type","water_company_name","catchment_population_ons_mid_2019","grab_compo_ind","Easting","Northing","region","collection_date","week_beginning","avg_Log10_NoV","date","imd","bame","school_den","carehome_den","prop_agri","prop_urb","mob_7day","temp_2","temp_3","temp_1","temp_4","temp_5","rain_1","rain_2","rain_3","rain_4","rain_5","lockdown_NA","lockdown_step3","lockdown_step4","lockdown_planB","lockdown_lifting","lockdown_planA","scale_school_den","scale_carehome_den","scale_imd","scale_bame","scale_mob_7day","scale_prop_agri","scale_prop_urb"
"1",1,1,"UKENAN_AW_TP000016",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-05-24",NA,NA,2021-05-24,17.5157478644154,0.235955303850596,82.6397106949008,46.9393556747036,0.146223724952025,0.451289326046554,-21.6600560369621,2,1,1,1,1,2,1,1,1,1,"1",0,0,0,"0",0,0.235849128866638,1.47299028706441,-0.699547789067784,0.811094695688446,0.259923037051186,0.0777343989018232,-0.978918574921646
"2",2,2,"UKENAN_AW_TP000023",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-05-24",NA,NA,2021-05-24,22.9313483815164,0.0482356843490469,96.9855832241153,28.8335517693316,0,0.44278028316764,-3.28571428571429,2,1,1,1,1,2,1,1,1,1,"1",0,0,0,"0",0,0.872960262536954,0.0830669257431102,0.0231842890542701,-0.794165098547448,2.22165603822377,-1.05905359499787,-1.02423160722102
"3",3,3,"UKENAN_AW_TP000037",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-05-24",NA,NA,2021-05-24,20.3232532259418,0.108279740558344,100.271548787626,43.6589040175787,0.121742392209145,0.469652264104324,-18.9670940385627,2,1,1,1,1,2,1,1,1,1,"1",0,0,0,"0",0,1.01889249782669,1.22116074015485,-0.324875732318488,-0.280706198664959,0.547436597791675,-0.112590975081778,-0.881130795830171
"4",4,4,"UKENAN_AW_TP000050",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-05-24",NA,NA,2021-05-24,13.0600862826663,0.207259064101211,76.9192595900948,17.3688650687311,0.0787752501958013,0.535729004445361,-27.7135228272312,2,1,1,1,1,2,1,1,1,1,"1",0,0,0,"0",0,-0.0182004649148929,-0.797039583676574,-1.29417243765799,0.565702551608048,-0.386374160135031,-0.44663068846603,-0.529253679694063
"5",5,5,"UKENAN_AW_TP000051",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-05-24",NA,NA,2021-05-24,26.1659737867897,0.471946268255862,138.237340135205,36.56600610028,0.0715350128821392,0.608235937315321,-22.296823173049,2,1,1,1,1,2,1,1,1,1,"1",0,0,0,"0",0,2.70498222969127,0.676662160238411,0.454857107925885,2.82914058758096,0.191938718383611,-0.502918509432539,-0.143133990579939
"6",6,6,"UKENAN_AW_TP000055",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-05-24",NA,NA,2021-05-24,12.6863714497377,0.124066596780357,82.7640281397696,12.3420041962814,0.173066663051214,0.435855357573084,-23.4971548729706,2,1,1,1,1,2,1,1,1,1,"1",0,0,0,"0",0,0.241370161349957,-1.18293525543168,-1.34404607530439,-0.145706960770323,0.0637855393490574,0.286419615764971,-1.06110877209164
"7",7,7,"UKENAN_AW_TP000063",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-05-24",NA,NA,2021-05-24,17.9788368456832,0.154443361165487,66.3044728456121,36.5351176904393,0.138612273762734,0.612357017693693,-22.9297487639548,2,1,1,1,1,2,1,1,1,1,"1",0,0,0,"0",0,-0.489611234993463,0.674290958017508,-0.637746838142721,0.114055970115138,0.124364541535492,0.018560647645121,-0.121188085388154
"8",8,8,"UKENAN_AW_TP000069",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-05-24",NA,NA,2021-05-24,17.0544480367932,0.272526060776713,83.5961699223404,16.5576954918645,0.141708309540532,0.525628928221041,-24.2279228564017,2,1,1,1,1,2,1,1,1,1,"1",0,0,0,"0",0,0.278326212185378,-0.859310419634621,-0.761109970768957,1.12382474433307,-0.0142347613890518,0.0426301774156108,-0.583039409380874
"9",9,9,"UKENAN_AW_TP000082",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-05-24",NA,NA,2021-05-24,20.4756309569196,0.0247142730374042,71.6275368085953,31.8344608038201,0.095292609223445,0.272486923741571,-8.28571428571429,2,1,1,1,1,2,1,1,1,1,"1",0,0,0,"0",0,-0.253209907074964,0.313436899594322,-0.304540356062179,-0.995305373509244,1.68783201673485,-0.31821968375584,-1.93109135700138
"10",10,10,"UKENAN_AW_TP000107",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-05-24",NA,NA,2021-05-24,20.817714699368,0.175533236185186,85.2374274794468,31.8167356029271,0.196774376287577,0.417050818148881,-22.2934627924035,2,1,1,1,1,2,1,1,1,1,"1",0,0,0,"0",0,0.351215711288594,0.312076193881719,-0.258888005359648,0.294403280239019,0.192297488765595,0.470730634915636,-1.16124820192285
